DEBUG:root:This is Debug message
INFO:root:This is info message
WARNING:root:This is warning messages
ERROR:root:This is error message
CRITICAL:root:This is critical message
DEBUG:custom-message:This is Debug message
INFO:custom-message:This is info message
WARNING:custom-message:This is warning messages
ERROR:custom-message:This is error message
CRITICAL:custom-message:This is critical message
DEBUG:multi-format-handlers:This is Debug message
INFO:multi-format-handlers:This is info message
WARNING:multi-format-handlers:This is warning messages
ERROR:multi-format-handlers:This is error message
CRITICAL:multi-format-handlers:This is critical message
DEBUG:root:This is debug message 0
DEBUG:root:This is debug message 1
DEBUG:root:This is debug message 2
DEBUG:root:This is debug message 3
DEBUG:root:This is debug message 4
DEBUG:root:This is debug message 5
DEBUG:root:This is debug message 6
DEBUG:root:This is debug message 7
DEBUG:root:This is debug message 8
DEBUG:root:This is debug message 9
DEBUG:root:This is debug message 10
DEBUG:root:This is debug message 11
DEBUG:root:This is debug message 12
DEBUG:root:This is debug message 13
DEBUG:root:This is debug message 14
DEBUG:root:This is debug message 15
DEBUG:root:This is debug message 16
DEBUG:root:This is debug message 17
DEBUG:root:This is debug message 18
DEBUG:root:This is debug message 19
DEBUG:root:This is debug message 20
DEBUG:root:This is debug message 21
DEBUG:root:This is debug message 22
DEBUG:root:This is debug message 23
DEBUG:root:This is debug message 24
DEBUG:root:This is debug message 25
DEBUG:root:This is debug message 26
DEBUG:root:This is debug message 27
DEBUG:root:This is debug message 28
DEBUG:root:This is debug message 29
DEBUG:root:This is debug message 30
DEBUG:root:This is debug message 31
DEBUG:root:This is debug message 32
DEBUG:root:This is debug message 33
DEBUG:root:This is debug message 34
DEBUG:root:This is debug message 35
DEBUG:root:This is debug message 36
DEBUG:root:This is debug message 37
DEBUG:root:This is debug message 38
DEBUG:root:This is debug message 39
DEBUG:root:This is debug message 40
DEBUG:root:This is debug message 41
DEBUG:root:This is debug message 42
DEBUG:root:This is debug message 43
DEBUG:root:This is debug message 44
DEBUG:root:This is debug message 45
DEBUG:root:This is debug message 46
DEBUG:root:This is debug message 47
DEBUG:root:This is debug message 48
DEBUG:root:This is debug message 49
DEBUG:root:This is debug message 50
